,000300.SH,000905.SH,399006.SZ,000906.SH,000852.SH,881001.WI
2017/4/19,-0.004870936,-0.010527061,-0.001526131,-0.006541718,-0.012647643,-0.008298142
2017/4/20,0.004548045,-0.000452442,0.002713747,0.003076815,-0.005707573,-0.0004171
2017/4/21,0.001513311,-0.007413686,-0.006152,-0.001103848,-0.005290767,-0.002430748
2017/4/24,-0.01024805,-0.025744373,-0.015821098,-0.014761783,-0.031100449,-0.019950072
2017/4/25,0.002831497,0.003576816,0.004950022,0.003046191,0.003340303,0.003535083
2017/4/26,0.001223171,0.002586965,0.00088522,0.001616233,0.003617906,0.002573957
2017/4/27,0.00044613,0.002575336,0.01232735,0.001060469,0.006085931,0.003474911
2017/4/28,-0.0020214,0.003158436,0.004238595,-0.000524563,0.005508364,0.002124127
2017/5/2,-0.003830624,0.000684593,6.25E-05,-0.002521056,0.000431709,-0.001215253
2017/5/3,-0.003924734,-0.002998191,-0.005616827,-0.003655139,-0.001890302,-0.002831819
2017/5/4,-0.002561228,-0.003416325,-0.001276642,-0.002810188,-0.003327698,-0.002964812
2017/5/5,-0.006414137,-0.014024971,-0.010833284,-0.008628758,-0.013365858,-0.010300966
2017/5/8,-0.007017693,-0.018743718,-0.016215457,-0.010411208,-0.018828171,-0.014313296
2017/5/9,-0.001869738,0.006101893,0.007705281,0.000417841,0.006310684,0.003209623
2017/5/10,-0.004424029,-0.020984791,-0.017293459,-0.009203371,-0.019885119,-0.012083306
2017/5/11,0.005676123,-0.002242993,0.000617393,0.003417903,-0.008672094,-4.55E-06
2017/5/12,0.008559974,-0.001507993,0.001249483,0.0057052,-0.00214586,0.004112073
2017/5/15,0.004080784,0.005069134,0.002258615,0.004359012,0.002754439,0.00395841
2017/5/16,0.008665408,0.020569567,0.020411485,0.012019039,0.021397178,0.015243147
2017/5/17,-0.005449231,0.002147393,0.004241682,-0.003291047,0.00273835,-0.000532811
2017/5/18,-0.003475959,-0.008519174,-0.005010537,-0.004916381,-0.006769396,-0.005425646
2017/5/19,0.001688143,-0.000221308,-0.006853518,0.001144774,-0.001208255,0.000325846
